0,1,2,3,4,5,6,7,8,9,10,11,12,13
DeepSpeech,7680,2560,24000,384,509.0,368,1,0,0,F2,1.4999796103248806,13.89,11.989333102515188
DeepSpeech,6144,2048,24000,128,2048.0,224,0,0,1,F1,1.4999847552953138,13.86,13.778566420280491
DeepSpeech,4608,1536,24000,128,1536.0,352,0,0,1,F1,1.388977296753144,13.89,14.601732116444323
DeepSpeech,8448,2816,24000,384,509.0,368,1,0,0,F2,1.4999796103248806,13.86,11.989333102515188
DeepSpeech,3072,1024,24000,128,1024.0,512,0,0,1,F1,1.3528727186993632,13.86,14.87126391365728
DeepSpeech,7680,2560,48000,384,509.0,368,1,0,0,F2,1.4999796103248806,13.94,11.989333102515188
DeepSpeech,6144,2048,48000,128,2048.0,224,0,0,1,F1,1.4999847552953138,13.85,13.778566420280491
DeepSpeech,4608,1536,48000,128,1536.0,352,0,0,1,F1,1.388977296753144,13.89,14.601732116444323
DeepSpeech,8448,2816,48000,384,509.0,368,1,0,0,F2,1.4999796103248806,13.88,11.989333102515188
DeepSpeech,3072,1024,48000,128,1024.0,512,0,0,1,F1,1.3528727186993632,13.89,14.87126391365728
DeepSpeech,6144,2048,16,384,1024.0,16,1,0,0,F2,1.2752248522999368,4.52,1.794633314646892
DeepSpeech,4608,1536,16,512,768.0,16,1,0,0,F2,1.2726210954404094,4.36,1.7975702797269233
DeepSpeech,8448,2816,16,512,939.0,16,1,0,0,F2,1.2359583881629819,5.64,1.8088463435633975
DeepSpeech,6144,2048,32,384,1024.0,32,1,0,0,F2,1.3595020747162678,9.36,3.4199577727593753
DeepSpeech,4608,1536,32,256,1536.0,32,0,0,1,F1,1.2906083539659436,9.06,3.450502006745504
DeepSpeech,8448,2816,32,128,2816.0,32,0,0,1,F1,1.3012268222254944,11.03,3.4483387069933897
DeepSpeech,512,2816,24000,384,509.0,368,1,0,0,F2,1.4999796103248806,14.36,11.989333102515188
DeepSpeech,512,2048,24000,128,2048.0,224,0,0,1,F1,1.4999847552953138,14.04,13.778566420280491
DeepSpeech,512,2560,24000,384,509.0,368,1,0,0,F2,1.4999796103248806,14.13,11.989333102515188
DeepSpeech,512,1530,24000,128,1530.0,352,0,0,1,F1,1.3897017583965634,12.71,14.59936225975089
DeepSpeech,1024,2816,24000,384,509.0,368,1,0,0,F2,1.4999796103248806,14.11,11.989333102515188
DeepSpeech,1024,2048,24000,128,2048.0,224,0,0,1,F1,1.4999847552953138,12.82,13.778566420280491
DeepSpeech,1024,2560,24000,384,509.0,368,1,0,0,F2,1.4999796103248806,13.54,11.989333102515188
DeepSpeech,1024,1530,24000,128,1530.0,352,0,0,1,F1,1.3897017583965634,12.75,14.59936225975089
DeepSpeech,512,512,16,512,512.0,16,0,0,1,F1,1.3246177313433531,0.65,1.7427401456622709
DeepSpeech,1024,512,16,512,512.0,16,0,0,1,F1,1.3246177313433531,1.2,1.7427401456622709
DeepSpeech,512,2816,48000,384,509.0,368,1,0,0,F2,1.4999796103248806,14.11,11.989333102515188
DeepSpeech,512,2048,48000,128,2048.0,224,0,0,1,F1,1.4999847552953138,12.9,13.778566420280491
DeepSpeech,512,2560,48000,384,509.0,368,1,0,0,F2,1.4999796103248806,12.77,11.989333102515188
DeepSpeech,512,1530,48000,128,1530.0,352,0,0,1,F1,1.3897017583965634,12.85,14.59936225975089
DeepSpeech,1024,2816,48000,384,509.0,368,1,0,0,F2,1.4999796103248806,14.03,11.989333102515188
DeepSpeech,1024,2048,48000,128,2048.0,224,0,0,1,F1,1.4999847552953138,14.19,13.778566420280491
DeepSpeech,1024,2560,48000,384,509.0,368,1,0,0,F2,1.4999796103248806,14.22,11.989333102515188
DeepSpeech,1024,1530,48000,128,1530.0,352,0,0,1,F1,1.3897017583965634,14.05,14.59936225975089
DeepSpeech,512,512,32,512,512.0,32,0,0,1,F1,1.395875251714259,1.2,3.357512488119305
DeepSpeech,1024,512,32,512,512.0,32,0,0,1,F1,1.395875251714259,2.4,3.357512488119305
