0,1,2,3,4,5,6,7,8,9,10,11,12,13
DeepSpeech,35,2048,8457,0,0.0,0,-1,-1,-1,fail,0.0,5.59,0.0
DeepSpeech,5124,2560,9124,384,509.0,368,1,0,0,F2,1.5999761304657296,13.42,12.461895072307392
DeepSpeech,35,2560,8457,0,0.0,0,-1,-1,-1,fail,0.0,5.97,0.0
DeepSpeech,5124,4096,9124,384,509.0,368,1,0,0,F2,1.5999761304657296,13.48,12.461895072307392
DeepSpeech,35,4096,8457,0,0.0,0,-1,-1,-1,fail,0.0,6.41,0.0
DeepSpeech,7680,2560,16,512,854.0,16,1,0,0,F2,1.3067442351522895,5.24,1.8732033680836409
DeepSpeech,7680,2560,32,512,854.0,32,1,0,0,F2,1.4074219357262698,9.99,3.6010111708777663
DeepSpeech,7680,2560,64,128,2560.0,64,0,0,1,F1,1.5409923414732494,12.71,6.850261385085448
DeepSpeech,7680,2560,128,128,2560.0,128,0,0,1,F1,1.599982505202349,13.6,11.144871293675752
DeepSpeech,3072,1024,16,512,512.0,16,1,0,0,F2,1.4518633392834503,2.96,1.8637183755165045
DeepSpeech,3072,1024,32,512,512.0,32,1,0,0,F2,1.560043341618803,5.75,3.588916938043953
DeepSpeech,3072,1024,64,384,1024.0,64,0,0,1,F1,1.5229589079478734,8.39,6.817305165628704
DeepSpeech,3072,1024,128,384,1024.0,128,0,0,1,F1,1.5999813090543573,10.07,11.024328869621714
DeepSpeech,3072,1024,7435,128,1024.0,512,0,0,1,F1,1.3999252548263554,13.77,14.852965979597187
DeepSpeech,7680,2560,5481,384,509.0,368,1,0,0,F2,1.5999761304657296,12.96,12.461895072307392
DeepSpeech,1760,1760,16,512,880.0,16,1,0,0,F2,1.3003252039073723,2.61,1.8736740801425635
DeepSpeech,1760,1760,32,256,1760.0,32,0,0,1,F1,1.3292016508819178,4.96,3.605201057413516
DeepSpeech,1760,1760,64,256,1760.0,64,0,0,1,F1,1.4814894455917516,7.62,6.854241242508752
DeepSpeech,1760,1760,128,128,1760.0,128,0,0,1,F1,1.5999765750338644,9.01,10.422291732167535
Speaker ID,1024,512,700,384,512.0,496,0,0,1,F1,1.4343264188997351,10.79,14.498595975579075
DeepSpeech,7680,2560,24000,384,509.0,368,1,0,0,F2,1.5999761304657296,13.89,12.461895072307392
DeepSpeech,6144,2048,24000,128,2048.0,224,0,0,1,F1,1.587743216356967,13.86,14.158127197300443
DeepSpeech,4608,1536,24000,128,1536.0,352,0,0,1,F1,1.4408439200129106,13.89,14.642111727742089
DeepSpeech,8448,2816,24000,384,509.0,368,1,0,0,F2,1.5999761304657296,13.86,12.461895072307392
DeepSpeech,3072,1024,24000,128,1024.0,512,0,0,1,F1,1.3999252548263554,13.86,14.852965979597187
DeepSpeech,7680,2560,48000,384,509.0,368,1,0,0,F2,1.5999761304657296,13.94,12.461895072307392
DeepSpeech,6144,2048,48000,128,2048.0,224,0,0,1,F1,1.587743216356967,13.85,14.158127197300443
DeepSpeech,4608,1536,48000,128,1536.0,352,0,0,1,F1,1.4408439200129106,13.89,14.642111727742089
DeepSpeech,8448,2816,48000,384,509.0,368,1,0,0,F2,1.5999761304657296,13.88,12.461895072307392
DeepSpeech,3072,1024,48000,128,1024.0,512,0,0,1,F1,1.3999252548263554,13.89,14.852965979597187
DeepSpeech,6144,2048,16,512,683.0,16,1,0,0,F2,1.3611381176728277,4.52,1.869400773944149
DeepSpeech,4608,1536,16,512,768.0,16,1,0,0,F2,1.3310726571771576,4.36,1.8714624412950656
DeepSpeech,8448,2816,16,512,939.0,16,1,0,0,F2,1.28707746447143,5.64,1.8746610950221303
DeepSpeech,6144,2048,32,512,683.0,32,1,0,0,F2,1.4646278933065282,9.36,3.596175082564014
DeepSpeech,4608,1536,32,512,768.0,32,1,0,0,F2,1.4330081041443923,9.06,3.5987991539172612
DeepSpeech,8448,2816,32,128,2816.0,32,0,0,1,F1,1.3693267785099166,11.03,3.597537959751681
DeepSpeech,512,2816,24000,384,509.0,368,1,0,0,F2,1.5999761304657296,14.36,12.461895072307392
DeepSpeech,512,2048,24000,128,2048.0,224,0,0,1,F1,1.587743216356967,14.04,14.158127197300443
DeepSpeech,512,2560,24000,384,509.0,368,1,0,0,F2,1.5999761304657296,14.13,12.461895072307392
DeepSpeech,512,1530,24000,128,1530.0,352,0,0,1,F1,1.4416649822044496,12.71,14.64077515209288
DeepSpeech,1024,2816,24000,384,509.0,368,1,0,0,F2,1.5999761304657296,14.11,12.461895072307392
DeepSpeech,1024,2048,24000,128,2048.0,224,0,0,1,F1,1.587743216356967,12.82,14.158127197300443
DeepSpeech,1024,2560,24000,384,509.0,368,1,0,0,F2,1.5999761304657296,13.54,12.461895072307392
