0,1,2,3,4,5,6,7,8,9,10,11,12,13
DeepSpeech,1760,1760,7133,128,1760.0,288,0,0,1,F1,1.3889784743838653,14.09,12.950996398653432
DeepSpeech,2048,2048,7133,128,2048.0,224,0,0,1,F1,1.4609782680433194,14.58,12.61273888793832
DeepSpeech,2560,2560,7133,384,509.0,368,1,0,0,F2,1.4999806410729324,15.04,11.35665612495351
DeepSpeech,4096,4096,7133,384,509.0,368,1,0,0,F2,1.4999806410729324,12.93,11.35665612495351
DeepSpeech,5124,1760,9124,128,1760.0,288,0,0,1,F1,1.3889784743838653,13.41,12.950996398653432
DeepSpeech,35,1760,8457,0,0.0,0,-1,-1,-1,fail,0.0,5.43,0.0
DeepSpeech,5124,2048,9124,128,2048.0,224,0,0,1,F1,1.4609782680433194,12.55,12.61273888793832
DeepSpeech,35,2048,8457,0,0.0,0,-1,-1,-1,fail,0.0,5.59,0.0
DeepSpeech,5124,2560,9124,384,509.0,368,1,0,0,F2,1.4999806410729324,13.42,11.35665612495351
DeepSpeech,35,2560,8457,0,0.0,0,-1,-1,-1,fail,0.0,5.97,0.0
DeepSpeech,5124,4096,9124,384,509.0,368,1,0,0,F2,1.4999806410729324,13.48,11.35665612495351
DeepSpeech,35,4096,8457,0,0.0,0,-1,-1,-1,fail,0.0,6.41,0.0
DeepSpeech,7680,2560,16,384,1280.0,16,1,0,0,F2,1.242435731831053,5.24,1.7981249774176962
DeepSpeech,7680,2560,32,512,854.0,32,1,0,0,F2,1.3468818425033897,9.99,3.4138833715776586
DeepSpeech,7680,2560,64,128,2560.0,64,0,0,1,F1,1.4655534089519824,12.71,6.409767870726374
DeepSpeech,7680,2560,128,128,2560.0,128,0,0,1,F1,1.4999857706043125,13.6,10.186509831814641
DeepSpeech,3072,1024,16,384,1024.0,16,0,0,1,F1,1.2393217218807617,2.96,1.7789195631274994
DeepSpeech,3072,1024,32,384,1024.0,32,0,0,1,F1,1.309725007383482,5.75,3.4141711987032957
DeepSpeech,3072,1024,64,384,1024.0,64,0,0,1,F1,1.4505256297307783,8.39,6.387561204348831
DeepSpeech,3072,1024,128,384,1024.0,128,0,0,1,F1,1.4999847965898834,10.07,10.079065577760876
DeepSpeech,3072,1024,7435,128,1024.0,512,0,0,1,F1,1.3136692576291988,13.77,13.412700262928501
DeepSpeech,7680,2560,5481,384,509.0,368,1,0,0,F2,1.4999806410729324,12.96,11.35665612495351
DeepSpeech,1760,1760,16,512,880.0,16,1,0,0,F2,1.2539529185767564,2.61,1.7972988267807406
DeepSpeech,1760,1760,32,256,1760.0,32,0,0,1,F1,1.2816984633956277,4.96,3.441910271394943
DeepSpeech,1760,1760,64,256,1760.0,64,0,0,1,F1,1.415967943909847,7.62,6.441137767601944
DeepSpeech,1760,1760,128,128,1760.0,128,0,0,1,F1,1.4999809109282096,9.01,9.541571487250351
Speaker ID,1024,512,700,384,512.0,496,0,0,1,F1,1.3406507701948578,10.79,13.064403486302435
DeepSpeech,7680,2560,24000,384,509.0,368,1,0,0,F2,1.4999806410729324,13.89,11.35665612495351
DeepSpeech,6144,2048,24000,128,2048.0,224,0,0,1,F1,1.4609782680433194,13.86,12.61273888793832
DeepSpeech,4608,1536,24000,128,1536.0,352,0,0,1,F1,1.345762440830054,13.89,13.18159368118295
DeepSpeech,8448,2816,24000,384,509.0,368,1,0,0,F2,1.4999806410729324,13.86,11.35665612495351
DeepSpeech,3072,1024,24000,128,1024.0,512,0,0,1,F1,1.3136692576291988,13.86,13.412700262928501
DeepSpeech,7680,2560,48000,384,509.0,368,1,0,0,F2,1.4999806410729324,13.94,11.35665612495351
DeepSpeech,6144,2048,48000,128,2048.0,224,0,0,1,F1,1.4609782680433194,13.85,12.61273888793832
DeepSpeech,4608,1536,48000,128,1536.0,352,0,0,1,F1,1.345762440830054,13.89,13.18159368118295
DeepSpeech,8448,2816,48000,384,509.0,368,1,0,0,F2,1.4999806410729324,13.88,11.35665612495351
DeepSpeech,3072,1024,48000,128,1024.0,512,0,0,1,F1,1.3136692576291988,13.89,13.412700262928501
DeepSpeech,6144,2048,16,384,1024.0,16,1,0,0,F2,1.2821795092073072,4.52,1.7868933500270743
